ID_Ville;Code_INSEE;Libelle_Commune;Organisme;Adresse_organisme;Code_ZIP;Commune;Telephone;Email;Site_Internet;Code_Region;Libelle_Region;Latitude;Longitude;Code_ZE2010;Libelle_Zone;Population;Academie;Code_Departement;Libelle_Departement;Libelle_Intercommunalite;Code_Arrondissement;Code_Canton
1;4001;Aiglun;Mairie d'Aiglun;Avenue des Docteurs-Paul-et-Marguerite-Jouve;4510;Aiglun;492346237;mairie@commune-aiglun04.fr;http://commune-aiglun04.fr;93;PROVENCE-ALPES-COTE D'AZUR;44.0507011414;6.14496994019;9301;Digne-les-Bains;1467;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;5
2;4004;Allemagne-en-Provence;Mairie d'Allemagne-en-Provence;Place de Verdun;4500;Allemagne-en-Provence;492774310;mairie@allemagne04.com;;93;PROVENCE-ALPES-COTE D'AZUR;43.7811012268;6.00784015656;9302;Manosque;567;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Durance-Lub??ron-Verdon Agglom??ration;4;15
3;4005;Allons;Mairie d'Allons;Rue Amiral-de-Richery;4170;Allons;492891073;mairie.allons@orange.fr;http://www.allons-alpes-haute-provence.fr;93;PROVENCE-ALPES-COTE D'AZUR;43.97706604;6.5951461792;9301;Digne-les-Bains;145;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
4;4006;Allos;Mairie d'Allos;Le Village;4260;Allos;492831800;accueil@mairie-allos.fr;http://www.mairie-allos.fr;93;PROVENCE-ALPES-COTE D'AZUR;44.2407798767;6.62885713577;9301;Digne-les-Bains;804;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
5;4007;Angles;Mairie d'Angles;Le Village;4170;Angles;492890854;mairie.angles0275@orange.fr;;93;PROVENCE-ALPES-COTE D'AZUR;43.9420280457;6.55837583542;9301;Digne-les-Bains;68;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
6;4008;Annot;Mairie d'Annot;Grand place du March??;4240;Annot;492832209;info@annot.com;http://www.annot.com;93;PROVENCE-ALPES-COTE D'AZUR;43.9670982361;6.6661901474;9307;Nice;1079;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
7;4009;Archail;Mairie d'Archail;Le Village;4420;Archail;492354146;;;93;PROVENCE-ALPES-COTE D'AZUR;44.121098;6.3344699;9301;Digne-les-Bains;15;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;13
8;4012;Aubenas-les-Alpes;Mairie d'Aubenas-les-Alpes;Le Village;4110;Aubenas-les-Alpes;492766164;mairie-aubenaslesalpes@wanadoo.fr;;93;PROVENCE-ALPES-COTE D'AZUR;43.9305992126;5.68175983429;9302;Manosque;98;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC Haute-Provence-Pays de Banon;4;11
9;4013;Aubignosc;Mairie d'Aubignosc;Le Village;4200;Aubignosc;492624194;mairie.aubignosc@wanadoo.fr;http://www.aubignosc04.fr;93;PROVENCE-ALPES-COTE D'AZUR;44.1298446655;5.96958303452;9301;Digne-les-Bains;607;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC Jabron-Lure-Van??on-Durance;4;3
10;4016;Authon;Mairie d'Authon;Le Village;4200;Authon;492614247;mairie-authon@orange.fr;;93;PROVENCE-ALPES-COTE D'AZUR;44.2382469177;6.12702608109;9301;Digne-les-Bains;62;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC du Sisteronais-Bu??ch;4;14
11;4017;Auzet;Mairie d'Auzet;Le Village;4140;Auzet;492352039;mairie.auzet@wanadoo.fr;;93;PROVENCE-ALPES-COTE D'AZUR;44.2958297729;6.31780195236;9301;Digne-les-Bains;103;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;13
12;4018;Banon;Mairie de Banon;Place Charles-Vial;4150;Banon;492732008;mairiebanon-ahp@wanadoo.fr;http://www.village-banon.fr;93;PROVENCE-ALPES-COTE D'AZUR;44.0379981995;5.62959003448;9302;Manosque;985;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC Haute-Provence-Pays de Banon;4;11
13;4019;Barcelonnette;Mairie de Barcelonnette;Place Valle-de-Bravo;4400;Barcelonnette;492807900;mairie@ville-barcelonnette.fr;http://www.barcelonnette.com;93;PROVENCE-ALPES-COTE D'AZUR;44.3862304688;6.64792013168;9304;Gap;2800;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC Vall??e de l'Ubaye - Serre-Pon??on;1;1
14;4020;Barles;Mairie de Barles;Le Village;4140;Barles;492351009;mairie.barles@orange.fr;;93;PROVENCE-ALPES-COTE D'AZUR;44.2634620667;6.26818799973;9301;Digne-les-Bains;136;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;13
15;4021;Barras;Mairie de Barras;Le Village;4380;Barras;492347347;mairie.barras@nordnet.fr;;93;PROVENCE-ALPES-COTE D'AZUR;44.1050605774;6.11366796494;9301;Digne-les-Bains;146;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;5
16;4022;Barr??me;Mairie de Barr??me;Place du Capitaine-Pierre-Rose;4330;Barr??me;492342004;mairie.barreme@wanadoo.fr;http://www.barreme.fr;93;PROVENCE-ALPES-COTE D'AZUR;43.9520072937;6.36622095108;9301;Digne-les-Bains;440;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;12
17;4023;Bayons;Mairie de Bayons;1 rue de la Mairie;4250;Bayons;492683103;communedebayons@9business.fr;http://www.communedebayons.wix.com;93;PROVENCE-ALPES-COTE D'AZUR;44.337687;6.1623;9301;Digne-les-Bains;187;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC du Sisteronais-Bu??ch;4;13
18;4024;Beaujeu;Mairie de Beaujeu;Le Village;4420;Beaujeu;492349174;mairiedebeaujeu@yahoo.fr;;93;PROVENCE-ALPES-COTE D'AZUR;44.2033348083;6.37144994736;9301;Digne-les-Bains;133;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;13
19;4025;Beauvezer;Mairie de Beauvezer;Le Village;4370;Beauvezer;492834347;;;93;PROVENCE-ALPES-COTE D'AZUR;44.143249;6.591834;9301;Digne-les-Bains;384;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
20;4026;Bellaffaire;Mairie de Bellaffaire;Le Village;4250;Bellaffaire;492551694;mairie.bellaffaire@wanadoo.fr;http://www.bellaffaire.fr;93;PROVENCE-ALPES-COTE D'AZUR;44.4192314148;6.1759557724;9304;Gap;149;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC du Sisteronais-Bu??ch;4;13
21;4027;Bevons;Mairie de Bevons;Le Castel;4200;Bevons;492628016;mairie.bevons@wanadoo.fr;;93;PROVENCE-ALPES-COTE D'AZUR;44.178652;5.884651;9301;Digne-les-Bains;294;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC Jabron-Lure-Van??on-Durance;4;14
22;4028;Beynes;Mairie de Beynes;Ch??teau de Fruchier;4270;Beynes;492355736;mairie.beynes@wanadoo.fr;;93;PROVENCE-ALPES-COTE D'AZUR;43.9934654236;6.20194101334;9301;Digne-les-Bains;134;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;12
23;4030;Blieux;Mairie de Blieux;Le Village;4330;Blieux;492342764;mairie.blieux@gmail.com;;93;PROVENCE-ALPES-COTE D'AZUR;43.872705;6.371197;9301;Digne-les-Bains;60;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;12
24;4031;Bras-d'Asse;Mairie de Bras-d'Asse;21 route du Pont-de-l'Asse;4270;Bras-d'Asse;492344024;administre.brasdasse@orange.fr;http://www.mairie-brasdasse-labegude.fr;93;PROVENCE-ALPES-COTE D'AZUR;43.9244134;6.12729739999997;9301;Digne-les-Bains;578;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;12
25;4032;Braux;Mairie de Braux;Place de la Mairie;4240;Braux;492832169;mairiebraux@gmail.com;http://braux04240.wix.com/braux;93;PROVENCE-ALPES-COTE D'AZUR;43.9872512817;6.69924020767;9307;Nice;125;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
26;4033;Ubaye-Serre-Pon??on;Mairie d??l??gu??e de Saint-Vincent-les-Forts;Saint-Vincent-les-Forts;4340;Ubaye-Serre-Pon??on;492855208;st.vincent.les.forts@wanadoo.fr;;93;PROVENCE-ALPES-COTE D'AZUR;44.445049;6.3730019;9304;Gap;759;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC Vall??e de l'Ubaye - Serre-Pon??on;1;1
27;4033;Ubaye-Serre-Pon??on;Mairie d'Ubaye-Serre-Pon??on;La Br??ole;4340;Ubaye-Serre-Pon??on;492855261;mairie.la.breole@wanadoo.fr;http://www.labreole.fr;93;PROVENCE-ALPES-COTE D'AZUR;44.4565734863;6.29408597946;9304;Gap;759;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC Vall??e de l'Ubaye - Serre-Pon??on;1;1
28;4034;La Brillanne;Mairie de La Brillanne;Place Sainte-Agathe;4700;La Brillanne;492786318;mairie.labrillanne04700@orange.fr;http://www.dlva.fr;93;PROVENCE-ALPES-COTE D'AZUR;43.9303016663;5.89052009583;9302;Manosque;1164;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Durance-Lub??ron-Verdon Agglom??ration;4;6
29;4035;Brunet;Mairie de Brunet;Le Village;4210;Brunet;492748813;mairie-brunet@orange.fr;;93;PROVENCE-ALPES-COTE D'AZUR;43.8926048279;6.02999687195;9302;Manosque;284;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Durance-Lub??ron-Verdon Agglom??ration;4;15
30;4036;Le Brusquet;Mairie du Brusquet;Quartier l'Arzi??ras;4420;Le Brusquet;492356900;mairie-le-brusquet@wanadoo.fr;http://www.le-brusquet.com;93;PROVENCE-ALPES-COTE D'AZUR;44.1610641479;6.30940914154;9301;Digne-les-Bains;986;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;13
31;4037;Le Caire;Mairie du Caire;Le Village;4250;Le Caire;492683529;mairie.lecaire@wanadoo.fr;;93;PROVENCE-ALPES-COTE D'AZUR;44.3698539734;6.0608458519;9301;Digne-les-Bains;73;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC du Sisteronais-Bu??ch;4;13
32;4039;Castellane;Mairie de Castellane;Place Marcel-Sauvaire;4120;Castellane;492836007;accueil@mairie-castellane.fr;http://www.mairie-castellane.fr;93;PROVENCE-ALPES-COTE D'AZUR;43.846698761;6.51086997986;9301;Digne-les-Bains;1564;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
33;4040;Le Castellard-M??lan;Mairie du Castellard-M??lan;Le Village;4380;Le Castellard-M??lan;492347762;mairie.castellard-melan@orange.fr;http://www.castellard-melan.fr;93;PROVENCE-ALPES-COTE D'AZUR;44.1874465942;6.12480115891;9301;Digne-les-Bains;65;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Provence-Alpes-Agglom??ration;3;4
34;4041;Le Castellet;Mairie du Castellet;Rue du Canal;4700;Le Castellet;492787403;mairie.lecastellet@orange.fr;http://www.le-castellet.fr;93;PROVENCE-ALPES-COTE D'AZUR;43.9379196167;5.97996282578;9302;Manosque;299;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CA Durance-Lub??ron-Verdon Agglom??ration;4;12
35;4042;Castellet-l??s-Sausses;Mairie de Castellet-l??s-Sausses;Le Village;4320;Castellet-l??s-Sausses;493054287;mairie-de-castellet-les-sausses@alsatis.net;;93;PROVENCE-ALPES-COTE D'AZUR;43.9944801331;6.763879776;9307;Nice;138;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
36;4043;Val-de-Chalvagne;Mairie de Val-de-Chalvagne;Hameau Castellet-Saint-Cassien;4320;Val-de-Chalvagne;493054029;mairie@val-de-chalvagne.fr;http://www.val-de-chalvagne.fr;93;PROVENCE-ALPES-COTE D'AZUR;43.914949;6.807721;9307;Nice;90;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;"""CC Alpes-Provence-Verdon """"Sources de lumi??re""""""";2;2
37;4045;C??reste;Mairie de C??reste;Cours Aristide-Briand;4280;C??reste;492790015;mairie@cereste.fr;http://www.cereste.fr;93;PROVENCE-ALPES-COTE D'AZUR;43.8564987183;5.58961009979;9316;Cavaillon - Apt;1219;Aix-Marseille;4;ALPES-DE-HAUTE-PROVENCE;CC Pays d'Apt-Luberon;4;11
