Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
06125;06470;SAINT-MARTIN-D'ENTRAUNES;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1682.0;3973.0;0.1;44.1494414084,6.74588335024;"{""type"": ""Polygon"", ""coordinates"": [[[6.724663980772535, 44.11096389553363], [6.719090878041973, 44.1182986046654], [6.707956122025595, 44.124388746436914], [6.704946063967321, 44.14480025164383], [6.687238276938204, 44.1683022384253], [6.701234745473848, 44.17753503979385], [6.706945403408478, 44.17180053198653], [6.735991975537382, 44.17049011261176], [6.7524647672066695, 44.163628861290775], [6.776000125545255, 44.16779469836701], [6.788664736970794, 44.17823414356181], [6.803188507219876, 44.17746996454861], [6.811987606071513, 44.17387526048448], [6.806564403094612, 44.1602134839017], [6.784958171187727, 44.145733121049396], [6.78058824525271, 44.13572865504667], [6.771318707235892, 44.12746079980803], [6.752466221943568, 44.125377972133464], [6.724663980772535, 44.11096389553363]]]}";1711;125;11;2;06;93
06049;06620;COURMES;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;870.0;1593.0;0.1;43.7525533793,7.01737606418;"{""type"": ""Polygon"", ""coordinates"": [[[7.051968744585971, 43.7467177641989], [7.030277992636396, 43.73927884751119], [7.021375996884939, 43.731796407494464], [7.007183959637722, 43.72981524174963], [6.998017223862714, 43.73199051364761], [6.999181971199707, 43.74474194160811], [6.9904355692823295, 43.75583000925253], [6.983607288213962, 43.77040615262413], [6.987900942003811, 43.771177010215766], [6.996003530314111, 43.76773536727876], [7.013509211305264, 43.772867001169054], [7.018031740851138, 43.77175410798435], [7.038971801731542, 43.76349162392133], [7.055546675612215, 43.75125188129677], [7.051968744585971, 43.7467177641989]]]}";2544;049;02;1;06;93
06035;06500;CASTELLAR;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;684.0;1223.0;1.0;43.8220566609,7.49891571145;"{""type"": ""Polygon"", ""coordinates"": [[[7.518724253287355, 43.80251328494096], [7.512984984520097, 43.79697358712504], [7.503705591326598, 43.79528466153972], [7.494771784716145, 43.7973483065128], [7.48789365666874, 43.806420041562944], [7.484172980700476, 43.8233923703913], [7.484931945266373, 43.833690624466385], [7.47913767347087, 43.84728704248003], [7.496644361537308, 43.85086569920114], [7.507622406226031, 43.83988416666113], [7.518724253287355, 43.80251328494096]]]}";31011;035;13;2;06;93
06009;06420;BAIROLS;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;956.0;1503.0;0.1;43.9870510207,7.11969473058;"{""type"": ""Polygon"", ""coordinates"": [[[7.130910756629431, 43.95843817871822], [7.112347734551005, 43.961562938573074], [7.111471383223299, 43.971896589558874], [7.093086797721436, 43.99164719961144], [7.099821706736101, 44.00439910197564], [7.131471555805864, 44.01384180660848], [7.136177051276951, 44.00452537581744], [7.135998590346404, 43.98436273649868], [7.141887001913747, 43.97213543626842], [7.13025335583655, 43.96176144423359], [7.130910756629431, 43.95843817871822]]]}";30657;009;29;2;06;93
06008;06260;AUVARE;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1412.0;1795.0;0.1;44.0074205826,6.91467896828;"{""type"": ""Polygon"", ""coordinates"": [[[6.892990909172604, 43.9666725407969], [6.8847996380795955, 43.96839684049732], [6.890389848383745, 43.97389265939123], [6.897016789844952, 44.0009141902714], [6.895862911811967, 44.01123676662258], [6.906114106012865, 44.02271144148768], [6.903800462330443, 44.03267920224204], [6.911321626921557, 44.036888998749845], [6.9129495167673864, 44.043670250876175], [6.936453246487735, 44.043376592255335], [6.940124049329717, 44.041180824868455], [6.9425291080726055, 44.040553477658996], [6.934342588458828, 44.02784500634947], [6.917813882702297, 44.02159899749573], [6.919624860574992, 44.001106005443674], [6.937169362727435, 44.004971983525415], [6.940357555883399, 43.99547651825007], [6.9392733780182585, 43.99207336652534], [6.932960735180377, 43.98705631111519], [6.910522091024695, 43.9803465290074], [6.894812414181569, 43.972149197480434], [6.891103679022194, 43.96991154050904], [6.892990909172604, 43.9666725407969]]]}";28875;008;18;2;06;93
06003;06750;ANDON;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1253.0;5428.0;0.6000000000000001;43.7769856778,6.82318647257;"{""type"": ""Polygon"", ""coordinates"": [[[6.840408089291334, 43.730874509884806], [6.823995302003708, 43.73718229513102], [6.806967476034304, 43.748490989441954], [6.784429839844171, 43.74782652509212], [6.788022691712153, 43.764548255460355], [6.782448052364272, 43.76991322431988], [6.783219320797656, 43.78006662187051], [6.770032603030105, 43.78336176314843], [6.770597322233504, 43.805873882229136], [6.794025419973573, 43.80855611928377], [6.802311205903304, 43.8121142493654], [6.859033967577226, 43.81987743904748], [6.859360209703403, 43.7830797176009], [6.856102416004108, 43.77441992128342], [6.857763910183208, 43.76458586826229], [6.867986574769131, 43.74994326680529], [6.871942942744266, 43.73421646793332], [6.863334763409245, 43.736090044622976], [6.840408089291334, 43.730874509884806]]]}";10614;003;21;1;06;93
06130;06460;SAINT-VALLIER-DE-THIEY;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;850.0;5216.0;3.3;43.696895033,6.85062748704;"{""type"": ""Polygon"", ""coordinates"": [[[6.849853231605675, 43.66149631749306], [6.83551925203648, 43.662768866307], [6.814203525873721, 43.6769778291694], [6.793040427978704, 43.68521338473678], [6.787244877038405, 43.6946221479802], [6.8057513576225315, 43.71452495131616], [6.807468521932593, 43.721293547462196], [6.838920102654559, 43.727584656838594], [6.840408089291334, 43.730874509884806], [6.863334763409245, 43.736090044622976], [6.871942942744266, 43.73421646793332], [6.864828791334437, 43.72601874188908], [6.881564490628374, 43.714873115663146], [6.89921655929107, 43.71307958090489], [6.907944648016975, 43.69865776875103], [6.915283651563164, 43.683411375547536], [6.888588971485041, 43.67219824460279], [6.8801751642039815, 43.67349891004184], [6.860750795600207, 43.66705554203983], [6.849853231605675, 43.66149631749306]]]}";5598;130;25;1;06;93
06038;06740;CHATEAUNEUF-GRASSE;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;318.0;908.0;3.2;43.6656345765,6.9791405929;"{""type"": ""Polygon"", ""coordinates"": [[[6.988551948497938, 43.641142166643775], [6.97259257624871, 43.648574010487735], [6.963809658697908, 43.66078708923299], [6.960122882529828, 43.67082279564769], [6.968795965513487, 43.679020401195444], [6.960166032922329, 43.68634449776474], [6.9685697381589105, 43.68739850560652], [6.9798264553570295, 43.68323002554003], [6.9875572961884584, 43.685496463828414], [6.998234162598823, 43.68086977525784], [6.993510209808337, 43.669384971892256], [6.98033701869881, 43.671823256281726], [6.976085398708237, 43.666185771744416], [6.986440068472207, 43.659643959731746], [7.00070161237789, 43.642272068934176], [6.988551948497938, 43.641142166643775]]]}";7035;038;02;1;06;93
06024;06850;BRIANCONNET;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1093.0;2466.0;0.2;43.8649498097,6.74501344628;"{""type"": ""Polygon"", ""coordinates"": [[[6.794475787080027, 43.843064345420956], [6.775192940637167, 43.84304909770911], [6.767303084683718, 43.84704288849654], [6.729117075383451, 43.85247287413751], [6.722192965461114, 43.85721403556805], [6.7028260870185665, 43.85596347356459], [6.698669303251062, 43.85771716374959], [6.695946841400769, 43.87489966392193], [6.678214815789521, 43.87919274269085], [6.670718776342567, 43.887742548248724], [6.716514654109731, 43.87957931922665], [6.74806813205328, 43.871859800931155], [6.781622233366354, 43.883558251959975], [6.79184692192704, 43.87621183854912], [6.789202717045616, 43.86621298130258], [6.794475787080027, 43.843064345420956]]]}";13739;024;21;1;06;93
06005;06260;ASCROS;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;997.0;1748.0;0.1;43.9193423,7.01550684755;"{""type"": ""Polygon"", ""coordinates"": [[[7.04981969875917, 43.90998391403223], [7.04505574076133, 43.910124560548155], [7.036052639230668, 43.89809458080696], [7.020083596808973, 43.90509100526007], [7.005830584253795, 43.90551604806382], [6.993028032172566, 43.901380697741935], [6.9902319341846635, 43.9180631067877], [6.972670495470608, 43.922578403753455], [6.978107284458458, 43.92688586744637], [6.980287088775551, 43.93542992827842], [7.009326093869172, 43.9366291770299], [7.045644137617944, 43.92580043606912], [7.05914803339863, 43.92213609811002], [7.04981969875917, 43.90998391403223]]]}";4770;005;18;2;06;93
