Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
13021;13620;CARRY-LE-ROUET;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;78.0;1002.0;6.3;43.3427663021,5.15373765817;"{""type"": ""Polygon"", ""coordinates"": [[[5.184769523096969, 43.332487567826064], [5.176592352796645, 43.33337240240807], [5.165858262964599, 43.32790037655016], [5.148116609113939, 43.32649942762486], [5.135188054712175, 43.329221250600156], [5.135715885544985, 43.34213368006594], [5.14080819304472, 43.347774550557176], [5.131490870959751, 43.366245194474224], [5.13871555368006, 43.364482742797534], [5.147669549721071, 43.36213652590078], [5.169374430489457, 43.34860933090286], [5.184769523096969, 43.332487567826064]]]}";19943;021;48;4;13;93
13048;13490;JOUQUES;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;368.0;8026.0;4.1;43.6334137827,5.65675796328;"{""type"": ""Polygon"", ""coordinates"": [[[5.669315085633806, 43.564641152706976], [5.647848373245112, 43.56975818613574], [5.641215059648237, 43.5781660771042], [5.632309555477802, 43.580281879852386], [5.628294002181452, 43.586428850789346], [5.6139518128175, 43.5943011393283], [5.605791283571598, 43.602257425295576], [5.602701764491126, 43.61225233521701], [5.606717135780047, 43.6463484049358], [5.610755048771128, 43.652526490963595], [5.606943519116442, 43.65868590516477], [5.623852159129348, 43.66614776219794], [5.641422405301018, 43.67198851108579], [5.657153862307126, 43.68544319217577], [5.673112701091146, 43.693506291096696], [5.682821363942703, 43.692826120915406], [5.700435731838486, 43.68139708893162], [5.719581055023344, 43.65689896935596], [5.7189732087480785, 43.64983757781112], [5.709944127860862, 43.6416540386595], [5.7006004916669735, 43.64252582918381], [5.680884026793777, 43.610882251896655], [5.6896073192516, 43.58737623939165], [5.687576537836678, 43.58421253319458], [5.65691958916954, 43.57528018536471], [5.669315085633806, 43.564641152706976]]]}";1528;048;27;1;13;93
13029;13250;CORNILLON-CONFOUX;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;70.0;1486.0;1.3;43.5783400746,5.07659575248;"{""type"": ""Polygon"", ""coordinates"": [[[5.107575614608761, 43.555100658960235], [5.102791750490904, 43.55558946239916], [5.092038553200384, 43.56717394339545], [5.08728221497509, 43.567769522249804], [5.082461585398579, 43.56761907711852], [5.074768367628323, 43.5588828568743], [5.066000487266613, 43.55598092550061], [5.062624252681768, 43.55845725039725], [5.057389732392387, 43.57159827303108], [5.047579247970964, 43.579056135976636], [5.043679443152613, 43.592270422536544], [5.062268015481685, 43.59229710183572], [5.084889642961501, 43.59800373731157], [5.089270865901528, 43.59656044183264], [5.102549371663318, 43.587834494173045], [5.099751320590511, 43.58141710529832], [5.107575614608761, 43.555100658960235]]]}";8158;029;51;1;13;93
13209;13009;MARSEILLE--9E--ARRONDISSEMENT;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;206.0;6358.0;76.8;43.2340834927,5.45249683067;"{""type"": ""Polygon"", ""coordinates"": [[[5.510186058946408, 43.19790289844639], [5.500245214439708, 43.20127452797552], [5.5016010177496995, 43.19764331750484], [5.458577853521497, 43.21018740984171], [5.445119996938036, 43.211978058714394], [5.453375793432297, 43.20068550834944], [5.422303950541979, 43.210683722925474], [5.427721319956086, 43.20404652859226], [5.396696737403804, 43.21236234603434], [5.381535321505125, 43.20959327756609], [5.380518025779248, 43.22669615103002], [5.389509259898889, 43.23460586148299], [5.395780075295956, 43.24779498471138], [5.3956652242852154, 43.26489657711043], [5.399825837296049, 43.2746227904019], [5.409343366469444, 43.27513092613395], [5.414401381163323, 43.269438207883006], [5.427531407858485, 43.26537307798649], [5.433828579174771, 43.26021855470541], [5.452243945191251, 43.25746208764504], [5.470456832158194, 43.25375310664163], [5.484103636513425, 43.25614000237635], [5.485242401482099, 43.26256668430157], [5.491759385506136, 43.267186480846235], [5.513050392497731, 43.263444248590574], [5.519641387315469, 43.244327867749924], [5.524095949972257, 43.23865292281305], [5.522210649245528, 43.23551104935215], [5.512890483104896, 43.23461241618509], [5.507343888487378, 43.22962053645335], [5.516995902823777, 43.214159460073205], [5.510186058946408, 43.19790289844639]]]}";36597;209;99;3;13;93
13088;13740;LE ROVE;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;159.0;2311.0;4.2;43.3653374562,5.25292240431;"{""type"": ""Polygon"", ""coordinates"": [[[5.237172268156179, 43.33172217142347], [5.234068121284166, 43.34196480077386], [5.236507868034383, 43.34859207145631], [5.230748393963922, 43.35399376887498], [5.229446981516909, 43.36434320407101], [5.214271143069264, 43.38189827032485], [5.228539332119154, 43.38201041193395], [5.252925086253359, 43.392512450788175], [5.271310376194583, 43.391174245302786], [5.2787849926827874, 43.38046915084141], [5.283305582360426, 43.37498289742476], [5.278845022710742, 43.3660860239046], [5.282250636130828, 43.35365747204335], [5.257860994500018, 43.3383748614834], [5.237172268156179, 43.33172217142347]]]}";3402;088;48;4;13;93
13112;13880;VELAUX;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;99.0;2515.0;8.5;43.5239854581,5.24996424883;"{""type"": ""Polygon"", ""coordinates"": [[[5.269571894227765, 43.495461784468105], [5.206463451733484, 43.524621094142326], [5.2009271891889854, 43.52927889063097], [5.201573946580592, 43.53517923567799], [5.207565395119211, 43.54009793464298], [5.216555727094088, 43.5396536480875], [5.220630520727664, 43.5455198928087], [5.233571580559248, 43.54736953749716], [5.236334748359244, 43.54460336188281], [5.245433287599918, 43.546278682600956], [5.264826322086921, 43.538179870516835], [5.273945994358218, 43.53695403203848], [5.290718288229462, 43.525665045577576], [5.294161903103133, 43.51958864644784], [5.291801363625438, 43.512815860188134], [5.269571894227765, 43.495461784468105]]]}";7363;112;51;1;13;93
13207;13007;MARSEILLE--7E--ARRONDISSEMENT;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;35.0;584.0;35.9;43.28251778,5.36323440435;"{""type"": ""Polygon"", ""coordinates"": [[[5.367986667220953, 43.268314734348536], [5.347862812274424, 43.282217196721504], [5.357269252321337, 43.29385584656289], [5.371008366340329, 43.29359128652747], [5.372144736531373, 43.290965444448595], [5.373816144133317, 43.279193231831556], [5.372030184473701, 43.269611944439376], [5.367986667220953, 43.268314734348536]]]}";36595;207;99;3;13;93
13087;13790;ROUSSET;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;256.0;1954.0;4.4;43.4841496165,5.62380799416;"{""type"": ""Polygon"", ""coordinates"": [[[5.611258096209532, 43.46355625796957], [5.600263907970055, 43.46885255068726], [5.590243082733697, 43.467814279712904], [5.583715345891125, 43.47601756739958], [5.585370868017636, 43.482045233782955], [5.59488155070569, 43.481862995558046], [5.602594431603574, 43.48538682800071], [5.600755411975741, 43.50212038809921], [5.617629799797783, 43.50497307317444], [5.628240893803043, 43.51037870060884], [5.654308173473657, 43.49071341821493], [5.657975637855156, 43.47697653413094], [5.653068623184023, 43.463863969142494], [5.647361766085033, 43.468756510216856], [5.6392218148686695, 43.46644353485753], [5.62169585328669, 43.46940742794114], [5.611258096209532, 43.46355625796957]]]}";13260;087;34;1;13;93
13027;13160;CHATEAURENARD;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;32.0;3487.0;15.0;43.8824707581,4.83990004648;"{""type"": ""Polygon"", ""coordinates"": [[[4.805075570230069, 43.85417973009612], [4.7910220504219545, 43.85228700073362], [4.788022147232538, 43.85500063250352], [4.797250013536148, 43.86639793100923], [4.801056862725914, 43.87980152173608], [4.81503786497816, 43.888976671749454], [4.818427464126139, 43.89535649427115], [4.811893953171943, 43.90404378629481], [4.810973563902835, 43.91427609441181], [4.854805285516451, 43.91079487220422], [4.881334787508861, 43.90156413106243], [4.878758157261687, 43.87018303490746], [4.8818575971542355, 43.86002067056962], [4.843187438504859, 43.86027569847132], [4.805075570230069, 43.85417973009612]]]}";17947;027;07;2;13;93
13203;13003;MARSEILLE--3E--ARRONDISSEMENT;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;25.0;254.0;45.4;43.3121200046,5.38010981423;"{""type"": ""Polygon"", ""coordinates"": [[[5.375021899598046, 43.30159390045778], [5.369125126911182, 43.31672594361934], [5.371580488653522, 43.32008305182218], [5.39318428115543, 43.316412029412255], [5.390502166127308, 43.30939746657357], [5.375021899598046, 43.30159390045778]]]}";36591;203;99;3;13;93
13211;13011;MARSEILLE-11E--ARRONDISSEMENT;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;177.0;3351.0;56.7;43.2884471881,5.48381466229;"{""type"": ""Polygon"", ""coordinates"": [[[5.484103636513425, 43.25614000237635], [5.470456832158194, 43.25375310664163], [5.452243945191251, 43.25746208764504], [5.458093757827827, 43.262107967653], [5.454034115825, 43.271758043317405], [5.439819101480126, 43.28452675750826], [5.426052267111644, 43.28671769877557], [5.425802140952967, 43.29014324901596], [5.4275773544223025, 43.29338833171464], [5.436665352717548, 43.29560477475758], [5.47358067160809, 43.30134517896796], [5.475104148909093, 43.31472950877414], [5.49781057591644, 43.31535027665268], [5.51374939094617, 43.32159608161272], [5.522810628113824, 43.320763993486246], [5.530284973035355, 43.29867346964723], [5.518421010896978, 43.288015348118265], [5.514010988081058, 43.28859504944856], [5.505738512395604, 43.281380124821474], [5.506134049221221, 43.27489092067836], [5.5144425792644824, 43.26769584017153], [5.513050392497731, 43.263444248590574], [5.491759385506136, 43.267186480846235], [5.485242401482099, 43.26256668430157], [5.484103636513425, 43.25614000237635]]]}";36599;211;99;3;13;93
13023;13600;CEYRESTE;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;270.0;2314.0;4.1;43.2238501508,5.63636473345;"{""type"": ""Polygon"", ""coordinates"": [[[5.6783834238364275, 43.216727835746596], [5.666256717787275, 43.206218909515826], [5.656960855521459, 43.20553919498101], [5.648477034876351, 43.208609783330004], [5.637513494882461, 43.20293830015361], [5.626565914890826, 43.20919933228827], [5.617128066679571, 43.20945563737417], [5.592460222402885, 43.21880797921947], [5.58795727507705, 43.22843799947492], [5.590001245328017, 43.23503999254139], [5.5943298160858745, 43.2363130696311], [5.631240022614545, 43.24183694149475], [5.658739052534165, 43.23614108734116], [5.682416265264739, 43.23545636978375], [5.6783834238364275, 43.216727835746596]]]}";6701;023;08;3;13;93
13005;13400;AUBAGNE;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;194.0;5484.0;46.6;43.2934843764,5.56331273477;"{""type"": ""Polygon"", ""coordinates"": [[[5.519641387315469, 43.244327867749924], [5.513050392497731, 43.263444248590574], [5.5144425792644824, 43.26769584017153], [5.523500738923848, 43.267268604314026], [5.53121124737897, 43.27037322047606], [5.530406754482056, 43.280391191627494], [5.518421010896978, 43.288015348118265], [5.530284973035355, 43.29867346964723], [5.522810628113824, 43.320763993486246], [5.548464101916268, 43.335823270335766], [5.566388688429506, 43.335174346984445], [5.609636723802796, 43.32383340521868], [5.607022026690479, 43.2930153363852], [5.615335941480189, 43.27012425657797], [5.599100456691615, 43.26489092719754], [5.586624498015836, 43.26681046338862], [5.5795581188662595, 43.27018353689736], [5.570903431979027, 43.267509796034695], [5.545090740817066, 43.25331597437557], [5.547209048749204, 43.24663303611436], [5.519641387315469, 43.244327867749924]]]}";8124;005;94;3;13;93
13002;13190;ALLAUCH;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;341.0;5037.0;18.6;43.3533145712,5.51134767187;"{""type"": ""Polygon"", ""coordinates"": [[[5.475104148909093, 43.31472950877414], [5.466645382848088, 43.323005012249844], [5.4549584681310215, 43.33572730670379], [5.467015690415663, 43.34058310091159], [5.474362157152418, 43.34912764913647], [5.473298654697645, 43.36916905151946], [5.47980934351237, 43.38541918277742], [5.504459492426604, 43.38809186182851], [5.511005712540914, 43.38368281017072], [5.544664686568098, 43.39079044992841], [5.556982760806958, 43.380239049409504], [5.5656938175824955, 43.35667558054137], [5.547567037218238, 43.34258587004823], [5.548464101916268, 43.335823270335766], [5.522810628113824, 43.320763993486246], [5.51374939094617, 43.32159608161272], [5.49781057591644, 43.31535027665268], [5.475104148909093, 43.31472950877414]]]}";29381;002;35;3;13;93
13064;13940;MOLLEGES;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;56.0;1423.0;2.5;43.8053410404,4.9488694514;"{""type"": ""Polygon"", ""coordinates"": [[[4.966811929050483, 43.7919363083437], [4.949983114244044, 43.78745891495911], [4.924172483483535, 43.799178536402955], [4.912029615711901, 43.80286679090271], [4.908506847481219, 43.812011036945485], [4.940010528222628, 43.818008163471845], [4.972713115537797, 43.81999586837511], [4.983012777301201, 43.8040289981627], [4.982208601162527, 43.80055097505018], [4.966811929050483, 43.7919363083437]]]}";29390;064;26;2;13;93
13038;13990;FONTVIEILLE;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;51.0;4029.0;3.6;43.7232610704,4.72310168882;"{""type"": ""Polygon"", ""coordinates"": [[[4.758629522692882, 43.695847124217416], [4.75417015838279, 43.69443403396126], [4.701576110141811, 43.7011284252704], [4.683981952478558, 43.695965938981075], [4.67006855893716, 43.697395404214106], [4.665664160234677, 43.707183194223646], [4.654387275885578, 43.712800368091514], [4.679766571140123, 43.72861237622729], [4.697513401422061, 43.732738364145575], [4.71155028597619, 43.73268062340784], [4.733388759967895, 43.75415275579222], [4.748730726217944, 43.7596500141121], [4.770319156043982, 43.76021037885822], [4.773471954641376, 43.74613580552732], [4.766825039705297, 43.72909747602136], [4.75183277867317, 43.71616287513237], [4.758629522692882, 43.695847124217416]]]}";653;038;03;2;13;93
