Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
05177;05560;VARS;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;2263.0;9075.0;0.6000000000000001;44.5925220925,6.71351456892;"{""type"": ""Polygon"", ""coordinates"": [[[6.7999419316506735, 44.60425310167477], [6.794088658330744, 44.59470234637045], [6.780234286300925, 44.59313158077213], [6.769219396616118, 44.58609962765438], [6.7691471189104675, 44.57577351243069], [6.75580797379655, 44.57125318306406], [6.738555308704969, 44.554255484957174], [6.705065667758084, 44.53966760221611], [6.680600159578493, 44.54148685828836], [6.672978210043652, 44.54964445656062], [6.656281572364759, 44.55434448616295], [6.642681552431528, 44.57170973422], [6.6451873174639555, 44.57926922835625], [6.652474524680446, 44.58762593370303], [6.648255169085282, 44.59336194404691], [6.6498991710887605, 44.60239186196775], [6.657690071685416, 44.6056218469773], [6.674556938323319, 44.63407276572422], [6.72071436046301, 44.642658495786705], [6.741838603400105, 44.629606830247624], [6.770381348913863, 44.6304481397134], [6.784489501891123, 44.61631119445897], [6.7996076737651, 44.607716573705275], [6.7999419316506735, 44.60425310167477]]]}";11026;177;11;1;05;93
05032;05260;CHAMPOLEON;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;2139.0;10189.0;0.1;44.7457461011,6.27312209866;"{""type"": ""Polygon"", ""coordinates"": [[[6.263358482816867, 44.68324554400993], [6.237910248366677, 44.709393782082174], [6.214358917162204, 44.70410645810273], [6.194941967962638, 44.705695930284826], [6.189572492147479, 44.7101577196964], [6.18929579499289, 44.71597731378956], [6.193872480481509, 44.72514398227692], [6.19061194273905, 44.737852466947274], [6.193315104782197, 44.740486661106665], [6.203173416593065, 44.740661451651924], [6.207645933717991, 44.75723738191283], [6.215994231295603, 44.76611397109486], [6.237730352035893, 44.77347328056436], [6.255441113392427, 44.79882430844729], [6.26979452093667, 44.79711325017421], [6.293791497648449, 44.78440907035188], [6.338295175892509, 44.79852248482258], [6.3442650722440455, 44.793566549201664], [6.346343465907165, 44.77704028572141], [6.353424754801995, 44.772951350103476], [6.359552608913381, 44.7580052877261], [6.344873651664877, 44.74404978852385], [6.322644465925212, 44.73012125834696], [6.3062787941212335, 44.712769769458845], [6.285705559264146, 44.703452674400815], [6.279739096582019, 44.693862143009824], [6.281051476164801, 44.68690307653754], [6.263358482816867, 44.68324554400993]]]}";13800;032;14;2;05;93
05086;05150;MONTJAY;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1005.0;2705.0;0.1;44.3664380919,5.61455270536;"{""type"": ""Polygon"", ""coordinates"": [[[5.587920978301597, 44.332122539792884], [5.593831910078707, 44.349410608326224], [5.585419368042735, 44.36611740164502], [5.583498182217645, 44.38730074275635], [5.607032647716944, 44.387511429023675], [5.611087766226454, 44.389378759596624], [5.609516845382637, 44.396170996747784], [5.622452582884554, 44.39989862924843], [5.641547992033508, 44.400162679505755], [5.654512432455224, 44.39720285345602], [5.654139197081657, 44.39379826394354], [5.649307890640991, 44.39363542772204], [5.640095869079949, 44.38573264580571], [5.638988312878285, 44.375446523046755], [5.625722782732498, 44.360992985193775], [5.645793888484744, 44.342652044594075], [5.623787792051456, 44.3352174673373], [5.615586660228029, 44.332620829735035], [5.587920978301597, 44.332122539792884]]]}";13972;086;17;2;05;93
05046;05200;EMBRUN;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;1412.0;3567.0;6.2;44.5804294908,6.47559298927;"{""type"": ""Polygon"", ""coordinates"": [[[6.497027118065957, 44.5417355802536], [6.4937386425655, 44.54743567706993], [6.486552749411308, 44.55064563794228], [6.478380086667245, 44.54808307269953], [6.464716045868258, 44.54636831303187], [6.43486069696085, 44.585417902612576], [6.43042840842438, 44.591529971387246], [6.435669209562626, 44.60241459314215], [6.454262325966003, 44.61849637361869], [6.516244976943895, 44.59072320990978], [6.519387236616617, 44.584089823116585], [6.513484340499682, 44.562407263401184], [6.497027118065957, 44.5417355802536]]]}";7901;046;08;2;05;93
05146;05140;SAINT-JULIEN-EN-BEAUCHENE;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1316.0;5921.0;0.1;44.6264570637,5.71979975938;"{""type"": ""Polygon"", ""coordinates"": [[[5.759662562231477, 44.61129655773391], [5.725247024435697, 44.579443112046604], [5.711638468926228, 44.58212911609805], [5.705296859594347, 44.587346995952856], [5.710187177572792, 44.59310920229897], [5.707620387389504, 44.59951364562028], [5.67592583731733, 44.60857297730482], [5.663673519319347, 44.619606201345945], [5.649461790654654, 44.6193803351774], [5.642842232762347, 44.62425883920018], [5.639893128917825, 44.63427377943456], [5.641715476737931, 44.651083686534314], [5.651550901141367, 44.65521705704179], [5.659304761867948, 44.651049409381514], [5.683495084843512, 44.64997856860055], [5.725504981638778, 44.640087122472146], [5.74915549758797, 44.65107699333694], [5.753769297991079, 44.660528894610685], [5.771119531321869, 44.65427615982368], [5.7906202122745345, 44.65329929913627], [5.803528474490554, 44.64488325678248], [5.80089884574909, 44.63285171708071], [5.768971492276797, 44.619044868616825], [5.759662562231477, 44.61129655773391]]]}";29248;146;03;2;05;93
05045;05200;CROTS;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1539.0;5659.0;0.9;44.496293828,6.46197152572;"{""type"": ""Polygon"", ""coordinates"": [[[6.512446422336229, 44.44998185631555], [6.49892596099866, 44.44941191685302], [6.481649387187606, 44.45402313197741], [6.46807405846334, 44.45236083057592], [6.458981990752436, 44.464333470220275], [6.4451318612138735, 44.4670650655217], [6.438481177042416, 44.47212047988427], [6.415901608371363, 44.469137363805174], [6.409319712492239, 44.473918489482536], [6.408369040896209, 44.48048047840237], [6.398808691081009, 44.4941562144314], [6.403416263769524, 44.495203461790645], [6.425660640794988, 44.48876577605678], [6.432032774323751, 44.49378473467094], [6.432806446785011, 44.49719370640273], [6.425570179010451, 44.520693330102695], [6.416644389152951, 44.52887254638758], [6.41565241078086, 44.53225524611251], [6.419932548694449, 44.533870728927546], [6.436447655781756, 44.54131410612367], [6.464716045868258, 44.54636831303187], [6.478380086667245, 44.54808307269953], [6.491659837668098, 44.5028426561712], [6.507962966791362, 44.48516819294395], [6.508372120180658, 44.46763786789885], [6.516718177485393, 44.45879340828511], [6.512446422336229, 44.44998185631555]]]}";9409;045;08;2;05;93
05148;05500;SAINT-LAURENT-DU-CROS;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1178.0;1246.0;0.5;44.6342790978,6.10886829684;"{""type"": ""Polygon"", ""coordinates"": [[[6.133998730800062, 44.61411471998435], [6.120566673926928, 44.61687343604778], [6.102578566027548, 44.614343766623726], [6.094335137559324, 44.617205706967034], [6.090264091589458, 44.62324788643309], [6.091115981348069, 44.63326067752516], [6.09424865762775, 44.639759019771844], [6.08978746841393, 44.64953306920553], [6.091006902266323, 44.65979698016274], [6.103969077746936, 44.65609129223758], [6.122530804593534, 44.64845996753764], [6.133998730800062, 44.61411471998435]]]}";19120;148;18;2;05;93
05167;05700;SIGOTTIER;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;952.0;2541.0;0.1;44.458049604,5.68531113946;"{""type"": ""Polygon"", ""coordinates"": [[[5.681614066642101, 44.437591051226946], [5.668424595557829, 44.44127994678905], [5.64959880093679, 44.441707268746704], [5.62610246448361, 44.44471068438283], [5.621401470055107, 44.45070414259828], [5.62236498097898, 44.460633898250435], [5.680636194697981, 44.460456975744876], [5.6865802221431565, 44.46591473618241], [5.679543843716764, 44.47482302859076], [5.68095583747991, 44.48151712468386], [5.704233701231111, 44.482353773368274], [5.714369507305792, 44.475439226826275], [5.737399423890744, 44.47846374666442], [5.737160531122004, 44.46521970600031], [5.726598431057202, 44.4590322119322], [5.725577448174598, 44.45220287390843], [5.716692981182635, 44.444216627730476], [5.714850006883499, 44.44720743086616], [5.7104136971772235, 44.44699238571566], [5.707246059767006, 44.44097236406261], [5.693815564349398, 44.44169787912529], [5.681614066642101, 44.437591051226946]]]}";5954;167;22;2;05;93
05181;05480;VILLAR-D'ARENE;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;2519.0;7797.0;0.30000000000000004;44.999721765,6.36428454594;"{""type"": ""Polygon"", ""coordinates"": [[[6.3581596161754295, 44.9415753908306], [6.33007947118906, 44.94776437992578], [6.323872544332066, 44.95308681843492], [6.328213698007166, 44.96634820519665], [6.31599166893723, 44.98118612678012], [6.316204318919779, 44.98820887443151], [6.322667875910637, 44.99762241832044], [6.318198730740799, 45.003865772577676], [6.328430021527153, 45.01101283381278], [6.325591967501995, 45.053056724220156], [6.361755055595915, 45.06456045516499], [6.380318099422166, 45.04788478336281], [6.406247055528991, 45.03234138824326], [6.412645898546354, 45.00805571202821], [6.403894718793606, 44.99576093463662], [6.411631908185688, 44.982870833211486], [6.411808958346352, 44.958262417206775], [6.408209771008133, 44.95167691019662], [6.385317993822294, 44.95488190767304], [6.3581596161754295, 44.9415753908306]]]}";3215;181;10;1;05;93
05168;05130;SIGOYER;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1153.0;2512.0;0.6000000000000001;44.4802333692,5.96951792615;"{""type"": ""Polygon"", ""coordinates"": [[[5.975987033679339, 44.45246232740843], [5.963633036343921, 44.462704466618916], [5.950021806066075, 44.46581718411212], [5.943334062598169, 44.46155490920457], [5.935743133169829, 44.45998276223349], [5.9298652428945395, 44.464273957674635], [5.925331733354305, 44.4724387201708], [5.928180392066563, 44.47788514171641], [5.932506121812303, 44.479292554284065], [5.9402513884464785, 44.49514813913274], [5.956450562115077, 44.501903761945904], [5.961275790282043, 44.50774694235712], [5.992373709747523, 44.49997094064041], [6.004124425144783, 44.48211163247523], [6.019602938943538, 44.475301610924475], [6.014712147872703, 44.46546295198007], [6.011319676942515, 44.46766370499822], [5.988770936948859, 44.46589923778549], [5.975987033679339, 44.45246232740843]]]}";8277;168;23;2;05;93
