Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
84113;84760;SAINT-MARTIN-DE-LA-BRASQUE;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;358.0;558.0;0.7000000000000001;43.7640135964,5.53975821596;"{""type"": ""Polygon"", ""coordinates"": [[[5.524428664767941, 43.746988592955965], [5.529848160234153, 43.75973735530953], [5.528260560579408, 43.77637622903202], [5.542593871086044, 43.784631862240495], [5.538261661457468, 43.77578353020883], [5.550667667960097, 43.77395418396208], [5.5564354252585915, 43.75649654616863], [5.524428664767941, 43.746988592955965]]]}";29250;113;19;1;84;93
84080;84170;MONTEUX;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;42.0;3942.0;10.9;44.0335256003,4.9847476645;"{""type"": ""Polygon"", ""coordinates"": [[[4.980973916359047, 43.99630825926713], [4.953185946301812, 44.0191527956703], [4.936488820259956, 44.02452715620278], [4.942396535124164, 44.05397873395136], [4.978923547897933, 44.06511847417081], [4.991485255000679, 44.068708025692175], [4.999256329849352, 44.0570964430684], [5.015202828358567, 44.05967605440601], [5.024713562416088, 44.044150231538616], [5.027655205979023, 44.030717215005765], [5.035731528778356, 44.02241050749578], [5.018076113666265, 44.011474922752036], [4.980973916359047, 43.99630825926713]]]}";36515;080;10;3;84;93
84138;84600;VALREAS;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;276.0;5876.0;9.9;44.3771588623,4.99354936197;"{""type"": ""Polygon"", ""coordinates"": [[[5.009006283839718, 44.333765888854494], [5.003273932061923, 44.32846782092433], [4.994005101602776, 44.32707851092622], [4.971826160084866, 44.34037254018672], [4.973015706638449, 44.34714948448173], [4.969142125613952, 44.35339586998666], [4.951447798740549, 44.357781069906785], [4.946414128053835, 44.36359697919809], [4.937308095770418, 44.36121844295132], [4.935397677033327, 44.36407941212405], [4.92394989213822, 44.36627909581267], [4.930076990872734, 44.37074600590158], [4.955424494846104, 44.390810699983135], [4.956379267529866, 44.40099584458997], [4.9627603510601555, 44.410066948102255], [4.959277837658631, 44.41978187913903], [4.970546686361999, 44.429846184561214], [4.975094798334824, 44.42945858392923], [4.979492218289838, 44.423688693636215], [4.988609946346961, 44.42320030980227], [5.006195970415179, 44.41171556890138], [5.018747423970079, 44.4159795993602], [5.017716003228697, 44.40713782745559], [5.013497729898993, 44.40544110258748], [5.018616466007352, 44.392587737774555], [5.032759322095075, 44.39089578276284], [5.047599570600622, 44.382120317229436], [5.070881627740628, 44.38322460479703], [5.070319810425574, 44.37644557454179], [5.053265274536665, 44.36488785619107], [5.025059086243434, 44.36099826603767], [5.02145292863491, 44.34436119746911], [5.009006283839718, 44.333765888854494]]]}";8530;138;22;2;84;93
84026;84160;CADENET;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;210.0;2583.0;4.1;43.7304056282,5.38354319666;"{""type"": ""Polygon"", ""coordinates"": [[[5.388125771901303, 43.70218784829966], [5.370534660963065, 43.709189234286306], [5.343699147100282, 43.71877279601012], [5.354014394058777, 43.72965912757664], [5.347413289821949, 43.73821893828008], [5.353748911157046, 43.75399859889555], [5.366974898487265, 43.751569320024544], [5.374825938431318, 43.75490941418896], [5.3838806318325965, 43.75462155895554], [5.386099612763516, 43.757498835281886], [5.4042271844431085, 43.747584284261414], [5.41115354031554, 43.73895959724378], [5.423610669562462, 43.734046614479105], [5.42789353400329, 43.73286185609419], [5.421663602894716, 43.71737205966081], [5.396008045058632, 43.71026078235034], [5.388125771901303, 43.70218784829966]]]}";21370;026;08;1;84;93
84060;84400;LAGARDE-D'APT;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1092.0;2232.0;0.0;43.9838729786,5.48164417071;"{""type"": ""Polygon"", ""coordinates"": [[[5.512673821307135, 43.94540357758526], [5.481949122728092, 43.95415555082899], [5.474478784853396, 43.962383658872184], [5.467483106111977, 43.971257835690004], [5.460960983306133, 43.99143919061753], [5.440714836757446, 44.01434954842507], [5.459620108911214, 44.01527671501629], [5.470361972002688, 44.02215712852705], [5.47437090343874, 44.020220615227224], [5.4937231419452015, 43.99224561791268], [5.504598213164935, 43.98541484328015], [5.51317042832776, 43.973359377202904], [5.507972448537575, 43.957802333023054], [5.512673821307135, 43.94540357758526]]]}";34027;060;01;1;84;93
84115;84330;SAINT-PIERRE-DE-VASSOLS;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;233.0;499.0;0.5;44.0949073027,5.14436401724;"{""type"": ""Polygon"", ""coordinates"": [[[5.129678936703429, 44.08534785900368], [5.132625027781534, 44.104963551361756], [5.139894016047051, 44.113510443643165], [5.143999004013318, 44.10106803030136], [5.15983032967506, 44.099109360606285], [5.163824351871239, 44.09243077757136], [5.159138085374747, 44.08745415520163], [5.151313859184738, 44.08502406236501], [5.129678936703429, 44.08534785900368]]]}";18071;115;15;3;84;93
84037;84230;CHATEAUNEUF-DU-PAPE;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;71.0;2477.0;2.1;44.0595884031,4.82728435607;"{""type"": ""Polygon"", ""coordinates"": [[[4.862340190520515, 44.036014269230165], [4.839086887209229, 44.033166602812535], [4.8182567072113365, 44.0416529363366], [4.809657991315145, 44.049906707301105], [4.795864776338329, 44.047910255144224], [4.787321527611841, 44.05527907692744], [4.787978307541306, 44.06506309540105], [4.804023362830005, 44.0851998810101], [4.82278304060989, 44.08597861786004], [4.8395457310447565, 44.079828565838426], [4.865372202581566, 44.056956825374435], [4.862340190520515, 44.036014269230165]]]}";28873;037;17;2;84;93
84133;84240;LA TOUR-D'AIGUES;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;327.0;4141.0;3.9;43.7214835187,5.56734664063;"{""type"": ""Polygon"", ""coordinates"": [[[5.619161254559732, 43.66933988349877], [5.607814757325875, 43.67892168825468], [5.599124160043541, 43.677941328615404], [5.601349006434215, 43.68459538394578], [5.588939423312719, 43.68890680594493], [5.589286798391481, 43.69576785663137], [5.584735263914521, 43.701593034729136], [5.557170778308219, 43.70625070677077], [5.554074957202256, 43.70000333144424], [5.525681375845057, 43.71121754776685], [5.519544995449543, 43.72040773421032], [5.508694074734394, 43.727167506042335], [5.511093047701126, 43.74704486519995], [5.523116016364332, 43.74397596729416], [5.524428664767941, 43.746988592955965], [5.5564354252585915, 43.75649654616863], [5.575068054309478, 43.74546963904937], [5.593451237561402, 43.741972176382625], [5.613708233668626, 43.73251137014103], [5.610031051485971, 43.71504315771499], [5.601635174476177, 43.706466083309934], [5.626722988360824, 43.67655800423506], [5.6274550851493395, 43.6730471251716], [5.619161254559732, 43.66933988349877]]]}";2715;133;19;1;84;93
84016;84370;BEDARRIDES;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;38.0;2504.0;5.1;44.0477457533,4.90804109098;"{""type"": ""Polygon"", ""coordinates"": [[[4.915274013116204, 44.01884178042747], [4.907825117776346, 44.03110752293032], [4.884234758004885, 44.034685202244546], [4.875535224017945, 44.031602706478644], [4.862340190520515, 44.036014269230165], [4.865372202581566, 44.056956825374435], [4.893412347934023, 44.06075177418023], [4.9041358610400785, 44.07154928168348], [4.932375681910164, 44.07246803491036], [4.933114888869733, 44.07584911157281], [4.9385471093245, 44.07071140824277], [4.942396535124164, 44.05397873395136], [4.936488820259956, 44.02452715620278], [4.936047801409488, 44.024399919771405], [4.915274013116204, 44.01884178042747]]]}";16701;016;05;2;84;93
84059;84190;LAFARE;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;259.0;454.0;0.1;44.1546199628,5.04972814303;"{""type"": ""Polygon"", ""coordinates"": [[[5.055567758822337, 44.13784084374218], [5.041375722191211, 44.1437062963608], [5.035324377660939, 44.156288851636695], [5.041186202258662, 44.1614110445331], [5.054363959078636, 44.168881208098234], [5.065625687712203, 44.159341754404394], [5.052838292160041, 44.146733583328995], [5.055567758822337, 44.13784084374218]]]}";21624;059;04;3;84;93
